-DOCSTART- -X- -X- O
the DT DT O
State NN NN O
by IN IN O
a DT DT O
dealer NN NN O
who WP WP O
is VBZ VBZ O
liable JJ JJ O
to TO TO O
tax NN NN O
under IN IN O
Section NN NN O
5 CD CD O
. . . O
The DT DT O
revision NN NN O
petitioner NN NN O
had VBD VBD O
produced VBN VBN O
before IN IN O
the DT DT O
assessing VBG VBG O
authority NN NN O
declarations NNS NNS O
in IN IN O
form NN NN O
25 CD CD O
obtained VBN VBN O
from IN IN O
the DT DT O
aforementioned VBN VBN O
two CD CD O
purchasers NNS NNS O
showing VBG VBG O
that IN IN O
they PRP PRP O
were VBD VBD O
the DT DT O
last JJ JJ O
purchasers NNS NNS O
in IN IN O
the DT DT O
State NN NN O
. . . O
On IN IN O
the DT DT O
basis NN NN O
of IN IN O
those DT DT O
declarations NNS NNS O
the DT DT O
revision NN NN O
petitioner NN NN O
contended VBN VBN O
that IN IN O
it PRP PRP O
could MD MD O
not RB RB O
be VB VB O
taxed NN NN O
in IN IN O
relation NN NN O
to TO TO O
the DT DT O
turnover NN NN O
relating VBG VBG O
to TO TO O
the DT DT O
sales NNS NNS O
effected VBN VBN O
to TO TO O
the DT DT O
Arya NN NN O
Vaidya NN NN O
Sala NN NN O
and CC CC O
Kakkassery NN NN O
Oushadhasala NN NN O
since IN IN O
the DT DT O
petitioner NN NN O
was VBD VBD O
not RB RB O
the DT DT O
last JJ JJ O
purchaser NN NN O
of IN IN O
the DT DT O
goods NNS NNS O
within IN IN O
the DT DT O
State NN NN O
. . . O
The DT DT O
assessing VBG VBG O
authority NN NN O
rejected VBN VBN O
the DT DT O
said VBD VBD O
contention NN NN O
stating VBG VBG O
that IN IN O
the DT DT O
declarations NNS NNS O
furnished VBN VBN O
in IN IN O
form NN NN O
25 CD CD O
did VBD VBD O
not RB RB O
show NN NN O
that IN IN O
" NN NN O
the DT DT O
last JJ JJ O
purchaser NN NN O
has VBZ VBZ O
accepted JJ JJ O
the DT DT O
tax NN NN O
liability NN NN O
". NN NN O
It PRP PRP O
was VBD VBD O
on IN IN O
the DT DT O
said VBD VBD O
ground NN NN O
that IN IN O
the DT DT O
assessing VBG VBG O
authority NN NN O
treated VBN VBN O
the DT DT O
revision NN NN O
petitioner NN NN O
as IN IN O
liable JJ JJ O
to TO TO O
tax NN NN O
in IN IN O
respect NN NN O
of IN IN O
the DT DT O
disputed VBN VBN O
turnover NN NN O
of IN IN O
Rs NN NN O
. . . O
37 CD CD O
, , , O
288 CD CD O
relating VBG VBG O
to TO TO O
the DT DT O
purchase NN NN O
of IN IN O
dried VBN VBN O
ginger NN NN O
, , , O
pepper NN NN O
and CC CC O
kacholam NN NN O
sold VBN VBN O
to TO TO O
the DT DT O
aforementioned VBN VBN O
two CD CD O
pharmaceuticals NNS NNS O
. . . O
2 CD CD O
. . . O
Though IN IN O
the DT DT O
petitioner NN NN O
carried VBN VBN O
the DT DT O
matter NN NN O
in IN IN O
appeal NN NN O
before IN IN O
the DT DT O
Deputy NN NN B-Article
Commissioner NN NN I-Article
and CC CC O
later RB RB O
in IN IN O
second JJ JJ O
appeal NN NN O
before IN IN O
the DT DT O
Kerala NNP NNP O
Sales NNS NNS O
Tax NN NN O
Appellate NN NN O
Tribunal JJ JJ O
, , , O
those DT DT O
appeals NNS NNS O
were VBD VBD O
dismissed VBN VBN O
and CC CC O
the DT DT O
view NN NN O
taken VBN VBN O
by IN IN O
the DT DT O
assessing VBG VBG O
authority NN NN O
was VBD VBD O
confirmed VBN VBN O
by IN IN O
the DT DT O
first RB RB O
and CC CC O
second JJ JJ O
appellate NN NN O
authorities NNS NNS O
. . . O
Hence NN NN O
this DT DT O
revision NN NN O
petition NN NN O
by IN IN O
the DT DT O
assessee NN NN O
. . . O
3 CD CD O
. . . O
It PRP PRP O
is VBZ VBZ O
an DT DT O
undisputed JJ JJ O
fact NN NN O
that IN IN O
the DT DT O
revision NN NN O
petitioner NN NN O
is VBZ VBZ O
not RB RB O
the DT DT O
last JJ JJ O
purchaser NN NN O
within IN IN O
the DT DT O
State NN NN O
in IN IN O
respect NN NN O
of IN IN O
the DT DT O
goods NNS NNS O
in IN IN O
question NN NN O
. . . O
They PRP PRP O
had VBD VBD O
sold VBN VBN O
those DT DT O
goods NNS NNS O
to TO TO O
the DT DT O
two CD CD O
pharmaceutical JJ JJ O
concerns NNS NNS O
aforementioned VBN VBN O
. . . O
The DT DT O
Tribunal JJ JJ O
has VBZ VBZ O
relied VBN VBN O
on IN IN O
Notification NN NN O
S NN NN O
. . . O
R NN NN O
. . . O
O NN NN O
. . . O
No DT DT O
. . . O
41 CD CD O
/ NN NN O
69 CD CD O
dated VBN VBN O
16th CD CD O
December NNP NNP O
, , , O
1968 CD CD O
, , , O
published VBN VBN O
in IN IN O
the DT DT O
Kerala NNP NNP O
Government NN NN O
Gazette NN NN O
dated VBN VBN O
28th CD CD O
January NNP NNP O
, , , O
1969 CD CD O
, , , O
for IN IN O
holding VBG VBG O
that IN IN O
the DT DT O
two CD CD O
pharmaceutical JJ JJ O
concerns NNS NNS O
aforementioned VBN VBN O
to TO TO O
which WDT WDT O
the DT DT O
revision NN NN O
petitioner NN NN O
had VBD VBD O
sold VBN VBN O
the DT DT O
goods NNS NNS O
in IN IN O
question NN NN O
could MD MD O
not RB RB O
be VB VB O
regarded VBN VBN O
as IN IN O
dealers NNS NNS O
liable JJ JJ O
to TO TO O
tax NN NN O
under IN IN O
Section NN NN B-Section
5 CD CD I-Section
, , , O
and CC CC O
hence NN NN O
the DT DT O
taxable JJ JJ O
point NN NN O
has VBZ VBZ O
to TO TO O
be VB VB O
fixed VBN VBN O
as IN IN O
the DT DT O
point NN NN O
of IN IN O
purchase NN NN O
of IN IN O
the DT DT O
goods NNS NNS O
by IN IN O
the DT DT O
revision NN NN O
petitioner NN NN O
. . . O
Notification NN NN O
S NN NN O
. . . O
R NN NN O
. . . O
O NN NN O
. . . O
No DT DT O
. . . O
41 CD CD O
/ NN NN O
69 CD CD O
reads NNS NNS O
: : : O
S NN NN O
. . . O
R NN NN O
. . . O
O NN NN O
. . . O
No DT DT O
. . . O
41 CD CD O
/ NN NN O
69 CD CD O
.- NN NN O
In IN IN O
exercise NN NN O
of IN IN O
the DT DT O
powers NNS NNS O
conferred VBN VBN O
by IN IN O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
1 CD CD O
) ) ) O
of IN IN O
Section NN NN B-Section
10 CD CD I-Section
of IN IN O
the DT DT O
Kerala NNP NNP O
General NNP NNP O
Sales NNS NNS O
Tax NN NN O
Act NNP NNP O
, , , O
1963 CD CD O
( ( ( O
Act NNP NNP O
15 CD CD O
of IN IN O
1963 CD CD O
), NN NN O
the DT DT O
Government NN NN O
of IN IN O
Kerala NNP NNP O
, , , O
having VBG VBG O
considered VBN VBN O
it PRP PRP O
necessary JJ JJ O
in IN IN O
the DT DT O
public NN NN O
interest NN NN O
so RB RB O
to TO TO O
do VB VB O
, , , O
hereby NN NN O
make VB VB O
an DT DT O
exemption NN NN O
in IN IN O
respect NN NN O
of IN IN O
the DT DT O
tax NN NN O
payable JJ JJ O
under IN IN O
the DT DT O
said VBD VBD O
Act NNP NNP O
by IN IN O
pharmacies NNS NNS O
and CC CC O
every DT DT O
dealer NN NN O
in IN IN O
cooked NNS NNS O
food NN NN O
and CC CC O
including VBG VBG O
coffee NN NN O
, , , O
tea NN NN O
and CC CC O
like IN IN O
articles NNS NNS O
, , , O
served VBD VBD O
in IN IN O
a DT DT O
hotel NN NN O
, , , O
restaurant NN NN O
or CC CC O
any DT DT O
other JJ JJ O
place NN NN O
, , , O
in IN IN O
regard NN NN O
to TO TO O
their PRP$ PRP$ O
turnover NN NN O
relating VBG VBG O
to TO TO O
the DT DT O
purchase NN NN O
of IN IN O
pepper NN NN O
, , , O
green JJ JJ O
and CC CC O
dried VBN VBN O
ginger NN NN O
, , , O
sugarcane NN NN O
, , , O
lemongrass NN NN O
oil NN NN O
, , , O
nuxvomica NN NN O
, , , O
laurel NN NN O
oil NN NN O
, , , O
kacholam NN NN O
, , , O
prawns NNS NNS O
, , , O
lobsters NNS NNS O
, , , O
frogs NNS NNS O
and CC CC O
frog NN NN O
legs NNS NNS O
, , , O
cashew NN NN O
- : : O
nut NN NN O
with IN IN O
or CC CC O
without IN IN O
shells NNS NNS O
, , , O
coconut NN NN O
, , , O
copra NN NN O
and CC CC O
groundnut NN NN O
, , , O
which WDT WDT O
are VBP VBP O
liable JJ JJ O
to TO TO O
tax NN NN O
at IN IN O
the DT DT O
point NN NN O
of IN IN O
last JJ JJ O
purchase NN NN O
in IN IN O
the DT DT O
State NN NN O
subject NN NN O
to TO TO O
the DT DT O
condition NN NN O
that IN IN O
the DT DT O
goods NNS NNS O
so RB RB O
purchased VBN VBN O
are VBP VBP O
used VBN VBN O
by IN IN O
them PRP PRP O
in IN IN O
the DT DT O
manufacture NN NN O
or CC CC O
preparation NN NN O
of IN IN O
goods NNS NNS O
for IN IN O
sale NN NN O
by IN IN O
them PRP PRP O
." NN NN O
( ( ( O
Notification NN NN O
dated VBN VBN O
16th CD CD O
December NNP NNP O
, , , O
1968 CD CD O
, , , O
in IN IN O
Kerala NNP NNP O
Gazette NN NN O
No DT DT O
. . . O
4 CD CD O
dated VBN VBN O
28th CD CD O
January NNP NNP O
, , , O
1969 CD CD O
, , , O
superseded VBD VBD O
in IN IN O
S NN NN O
. . . O
R NN NN O
. . . O
O NN NN O
. . . O
No DT DT O
. . . O
987 CD CD O
/ NN NN O
76 CD CD O
). NN NN O
This DT DT O
is VBZ VBZ O
a DT DT O
notification NN NN O
issued VBN VBN O
by IN IN O
the DT DT O
State NN NN O
Government NN NN O
in IN IN O
exercise NN NN O
of IN IN O
the DT DT O
power NN NN O
conferred VBN VBN O
by IN IN O
Section NN NN O
10 CD CD O
of IN IN O
the DT DT O
Act NNP NNP O
. . . O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
1 CD CD O
) ) ) O
of IN IN O
that IN IN O
section NN NN O
empowers NNS NNS O
the DT DT O
Government NN NN O
, , , O
if IN IN O
they PRP PRP O
consider VB VB O
it PRP PRP O
necessary JJ JJ O
in IN IN O
the DT DT O
public NN NN O
interest NN NN O
, , , O
to TO TO O
make VB VB O
an DT DT O
exemption NN NN O
or CC CC O
reduction NN NN O
in IN IN O
rate NN NN O
, , , O
in IN IN O
respect NN NN O
of IN IN O
any DT DT O
tax NN NN O
payable JJ JJ O
under IN IN O
the DT DT O
Act NNP NNP O
and CC CC O
the DT DT O
grant NN NN O
of IN IN O
such JJ JJ O
exemption NN NN O
is VBZ VBZ O
to TO TO O
be VB VB O
by IN IN O
the DT DT O
issuance NN NN O
of IN IN O
a DT DT O
notification NN NN O
in IN IN O
the DT DT O
Gazette NN NN O
. . . O
In IN IN O
accordance NN NN O
with IN IN O
the DT DT O
terms NNS NNS O
of IN IN O
the DT DT O
section NN NN O
, , , O
what WP WP O
the DT DT O
Government NN NN O
has VBZ VBZ O
actually RB RB O
done VBN VBN O
under IN IN O
the DT DT O
notification NN NN O
relied VBN VBN O
on IN IN O
by IN IN O
the DT DT O
Tribunal JJ JJ O
is VBZ VBZ O
also RB RB O
to TO TO O
" NN NN O
make VB VB O
an DT DT O
exemption NN NN O
in IN IN O
respect NN NN O
of IN IN O
the DT DT O
tax NN NN O
payable JJ JJ O
under IN IN O
the DT DT O
said VBD VBD O
Act NNP NNP O
by IN IN O
pharmacies NNS NNS O
...". NN NN O
It PRP PRP O
is VBZ VBZ O
also RB RB O
to TO TO O
be VB VB O
noted VBN VBN O
that IN IN O
the DT DT O
exemption NN NN O
granted VBN VBN O
under IN IN O
the DT DT O
notification NN NN O
is VBZ VBZ O
not RB RB O
absolute NN NN O
in IN IN O
character NN NN O
but CC CC O
is VBZ VBZ O
expressly RB RB O
made VBN VBN O
subject NN NN O
to TO TO O
the DT DT O
condition NN NN O
that IN IN O
the DT DT O
goods NNS NNS O
so RB RB O
purchased VBN VBN O
are VBP VBP O
used VBN VBN O
by IN IN O
the DT DT O
pharmacies NNS NNS O
in IN IN O
the DT DT O
manufacture NN NN O
or CC CC O
preparation NN NN O
of IN IN O
goods NNS NNS O
for IN IN O
sale NN NN O
by IN IN O
them PRP PRP O
. . . O
The DT DT O
notification NN NN O
, , , O
therefore RB RB O
, , , O
does VBZ VBZ O
not RB RB O
affect NN NN O
the DT DT O
taxability NN NN O
of IN IN O
the DT DT O
transaction NN NN O
of IN IN O
purchases NNS NNS O
effected VBN VBN O
by IN IN O
the DT DT O
pharmacies NNS NNS O
. . . O
On IN IN O
the DT DT O
other JJ JJ O
hand NN NN O
it PRP PRP O
proceeds NNS NNS O
on IN IN O
the DT DT O
basis NN NN O
that IN IN O
the DT DT O
tax NN NN O
is VBZ VBZ O
payable JJ JJ O
under IN IN O
the DT DT O
Act NNP NNP O
in IN IN O
respect NN NN O
of IN IN O
such JJ JJ O
transactions NNS NNS O
but CC CC O
, , , O
in IN IN O
the DT DT O
public NN NN O
interest NN NN O
, , , O
the DT DT O
Government NN NN O
has VBZ VBZ O
considered VBN VBN O
it PRP PRP O
necessary JJ JJ O
to TO TO O
grant NN NN O
a DT DT O
conditional JJ JJ O
exemption NN NN O
to TO TO O
the DT DT O
pharmacies NNS NNS O
from IN IN O
payment NN NN O
of IN IN O
the DT DT O
tax NN NN O
so RB RB O
due JJ JJ O
. . . O
We PRP PRP O
are VBP VBP O
therefore RB RB O
unable JJ JJ O
to TO TO O
uphold JJ JJ O
as IN IN O
correct NN NN O
the DT DT O
view NN NN O
taken VBN VBN O
by IN IN O
the DT DT O
Tribunal JJ JJ O
that IN IN O
the DT DT O
purchase NN NN O
of IN IN O
the DT DT O
goods NNS NNS O
effected VBN VBN O
by IN IN O
the DT DT O
pharmacies NNS NNS O
was VBD VBD O
not RB RB O
the DT DT O
last JJ JJ O
purchase NN NN O
of IN IN O
the DT DT O
goods NNS NNS O
in IN IN O
question NN NN O
within IN IN O
the DT DT O
State NN NN O
by IN IN O
a DT DT O
dealer NN NN O
liable JJ JJ O
to TO TO O
tax NN NN O
under IN IN O
Section NN NN O
5 CD CD O
of IN IN O
the DT DT O
Act NNP NNP O
. . . O
The DT DT O
transactions NNS NNS O
of IN IN O
purchase NN NN O
were VBD VBD O
taxable JJ JJ O
under IN IN O
the DT DT O
Act NNP NNP O
at IN IN O
the DT DT O
time NN NN O
when WRB WRB O
these DT DT O
transactions NNS NNS O
were VBD VBD O
entered VBN VBN O
into IN IN O
and CC CC O
the DT DT O
effect NN NN O
of IN IN O
the DT DT O
notification NN NN O
is VBZ VBZ O
only RB RB O
to TO TO O
grant NN NN O
a DT DT O
conditional JJ JJ O
exemption NN NN O
to TO TO O
the DT DT O
pharmacies NNS NNS O
( ( ( O
purchasers NNS NNS O
) ) ) O
from IN IN O
payment NN NN O
of IN IN O
the DT DT O
tax NN NN O
so RB RB O
due JJ JJ O
by IN IN O
them PRP PRP O
under IN IN O
Section NN NN O
6 CD CD O
of IN IN O
the DT DT O
Act NNP NNP O
. . . O
Under IN IN O
the DT DT O
terms NNS NNS O
of IN IN O
the DT DT O
notification NN NN O
the DT DT O
benefit NN NN O
conferred VBN VBN O
on IN IN O
the DT DT O
pharmacies NNS NNS O
was VBD VBD O
only RB RB O
that IN IN O
they PRP PRP O
could MD MD O
apply VB VB O
for IN IN O
the DT DT O
grant NN NN O
of IN IN O
exemption NN NN O
from IN IN O
payment NN NN O
of IN IN O
the DT DT O
tax NN NN O
on IN IN O
their PRP$ PRP$ O
proving VBG VBG O
to TO TO O
the DT DT O
satisfaction NN NN O
of IN IN O
the DT DT O
assessing VBG VBG O
authority NN NN O
that IN IN O
the DT DT O
dried VBN VBN O
ginger NN NN O
, , , O
pepper NN NN O
, , , O
kacholam NN NN O
, , , O
etc NN NN O
., NN NN O
purchased VBN VBN O
by IN IN O
them PRP PRP O
had VBD VBD O
been VBN VBN O
used VBN VBN O
by IN IN O
them PRP PRP O
in IN IN O
the DT DT O
manufacture NN NN O
or CC CC O
preparation NN NN O
of IN IN O
goods NNS NNS O
for IN IN O
sale NN NN O
. . . O
The DT DT O
view NN NN O
taken VBN VBN O
by IN IN O
the DT DT O
Tribunal JJ JJ O
that IN IN O
the DT DT O
purchases NNS NNS O
effected VBN VBN O
by IN IN O
the DT DT O
pharmacies NNS NNS O
were VBD VBD O
not RB RB O
purchases NNS NNS O
by IN IN O
dealers NNS NNS O
liable JJ JJ O
to TO TO O
tax NN NN O
under IN IN O
Section NN NN O
5 CD CD O
cannot NN NN O
therefore RB RB O
be VB VB O
accepted JJ JJ O
as IN IN O
correct NN NN O
. . . O
Thus RB RB O
the DT DT O
purchases NNS NNS O
made VBN VBN O
by IN IN O
the DT DT O
two CD CD O
pharmacies NNS NNS O
were VBD VBD O
the DT DT O
last JJ JJ O
purchases NNS NNS O
within IN IN O
the DT DT O
State NN NN O
by IN IN O
dealers NNS NNS O
liable JJ JJ O
to TO TO O
tax NN NN O
under IN IN O
Section NN NN O
5 CD CD O
. . . O
There EX EX O
was VBD VBD O
therefore RB RB O
absolutely RB RB O
no DT DT O
warrant NN NN O
for IN IN O
treating VBG VBG O
the DT DT O
purchases NNS NNS O
effected VBN VBN O
by IN IN O
the DT DT O
revision NN NN O
petitioner NN NN O
as IN IN O
the DT DT O
last JJ JJ O
purchases NNS NNS O
of IN IN O
the DT DT O
goods NNS NNS O
in IN IN O
question NN NN O
and CC CC O
subjecting VBG VBG O
the DT DT O
revision NN NN O
petitioner NN NN O
to TO TO O
tax NN NN O
in IN IN O
respect NN NN O
of IN IN O
the DT DT O
disputed VBN VBN O
turnover NN NN O
. . . O
We PRP PRP O
accordingly RB RB O
allow VB VB O
this DT DT O
revision NN NN O
petition NN NN O
, , , O
set NN NN O
aside RB RB O
the DT DT O
orders NNS NNS O
passed VBN VBN O
by IN IN O
the DT DT O
Tribunal JJ JJ O
, , , O
the DT DT O
Deputy NN NN O
Commissioner NN NN O
and CC CC O
the DT DT O
Sales NNS NNS O
Tax NN NN O
Officer NN NN O
and CC CC O
direct JJ JJ O
the DT DT O
Sales NNS NNS O
Tax NN NN O
Officer NN NN O
to TO TO O
recompute NN NN O
the DT DT O
tax NN NN O
liability NN NN O
of IN IN O
the DT DT O
revision NN NN O
petitioner NN NN O
by IN IN O
excluding VBG VBG O
from IN IN O
liability NN NN O
to TO TO O
tax NN NN O
the DT DT O
disputed VBN VBN O
turnover NN NN O
of IN IN O
Rs NN NN O
. . . O
37 CD CD O
, , , O
288 CD CD O
relating VBG VBG O
to TO TO O
the DT DT O
purchases NNS NNS O
of IN IN O
dried VBN VBN O
ginger NN NN O
, , , O
pepper NN NN O
and CC CC O
kacholam NN NN O
which WDT WDT O
were VBD VBD O
later RB RB O
sold VBN VBN O
by IN IN O
the DT DT O
petitioner NN NN O
to TO TO O
the DT DT O
Arya NN NN O
Vaidya NN NN O
Sala NN NN O
, , , O
Kottakkal NNP NNP O
, , , O
and CC CC O
the DT DT O
Kakkassery NN NN O
Oushadhasala NN NN O
. . . O
The DT DT O
parties NNS NNS O
will MD MD O
bear NN NN O
their PRP$ PRP$ O
respective NN NN O
costs NNS NNS O
. . . O
