-DOCSTART- -X- -X- O
authorisation NN NN O
to TO TO O
drive NN NN O
a DT DT O
heavy JJ JJ O
motor NN NN O
vehicle NN NN O
other JJ JJ O
than IN IN O
a DT DT O
car NN NN O
or CC CC O
tractor NN NN O
shall MD MD O
be VB VB O
granted VBN VBN O
unless IN IN O
the DT DT O
applicant NN NN O
satisfies NNS NNS O
the DT DT O
licensing NN NN O
authority NN NN O
concerned JJ JJ O
that IN IN O
he PRP PRP O
has VBZ VBZ O
had VBD VBD O
previous JJ JJ O
experience NN NN O
in IN IN O
driving VBG VBG O
light NN NN O
or CC CC O
medium NN NN O
motor NN NN O
vehicle NN NN O
or CC CC O
both DT DT O
together RB RB O
for IN IN O
a DT DT O
period NN NN O
of IN IN O
3 CD CD O
years NNS NNS O
. . . O

The DT DT O
proviso NN NN O
proceeds NNS NNS O
to TO TO O
deal NN NN O
with IN IN O
authorisation NN NN O
to TO TO O
drive NN NN O
a DT DT O
medium NN NN O
motor NN NN O
vehicle NN NN O
about IN IN O
which WDT WDT O
I PRP PRP O
am VBP VBP O
not RB RB O
concerned JJ JJ O
in IN IN O
this DT DT O
case NN NN O
. . . O

The DT DT O
stipulation NN NN O
in IN IN O
the DT DT O
proviso NN NN O
as IN IN O
aforesaid NN NN O
as IN IN O
regards NNS NNS O
experience NN NN O
in IN IN O
driving VBG VBG O
light NN NN O
or CC CC O
medium NN NN O
motor NN NN O
vehicles NNS NNS O
or CC CC O
both DT DT O
together RB RB O
for IN IN O
a DT DT O
period NN NN O
of IN IN O
3 CD CD O
years NNS NNS O
in IN IN O
order NN NN O
to TO TO O
obtain VB VB O
a DT DT O
licence NN NN O
to TO TO O
drive NN NN O
a DT DT O
heavy JJ JJ O
motor NN NN O
vehicle NN NN O
, , , O
is VBZ VBZ O
impugned VBN VBN O
in IN IN O
this DT DT O
petition NN NN O
as IN IN O
ultra JJ JJ O
vires NNS NNS O
of IN IN O
the DT DT O
rule NN NN O
making VBG VBG O
power NN NN O
of IN IN O
the DT DT O
State NN NN O
under IN IN O
Section NN NN B-Section
21 CD CD I-Section
of IN IN O
the DT DT O
Act NNP NNP O
. . . O

2 CD CD O
. . . O

Section NN NN O
21 CD CD O
of IN IN O
the DT DT O
Act NNP NNP O
enables NNS NNS O
a DT DT O
State NN NN O
Government NN NN O
to TO TO O
make VB VB O
rules NNS NNS O
for IN IN O
the DT DT O
purpose NN NN O
of IN IN O
carrying VBG VBG O
into IN IN O
effect NN NN O
the DT DT O
provisions NNS NNS O
of IN IN O
Chapter NN NN O
II NN NN O
beginning VBG VBG O
with IN IN O
Section NN NN O
3 CD CD O
and CC CC O
ending VBG VBG O
with IN IN O
Section NN NN O
21 CD CD O
. . . O

Chapter NN NN O
II NN NN O
concerns NNS NNS O
licencing VBG VBG O
of IN IN O
drivers NNS NNS O
of IN IN O
motor NN NN O
vehicles NNS NNS O
. . . O

It PRP PRP O
is VBZ VBZ O
in IN IN O
exercise NN NN O
of IN IN O
the DT DT O
powers NNS NNS O
conferred VBN VBN O
under IN IN O
Section NN NN O
21 CD CD O
also RB RB O
to TO TO O
make VB VB O
rules NNS NNS O
for IN IN O
the DT DT O
purpose NN NN O
of IN IN O
carrying VBG VBG O
into IN IN O
effect NN NN O
the DT DT O
provisions NNS NNS O
of IN IN O
Chapter NN NN O
II NN NN O
that IN IN O
the DT DT O
Kerala NNP NNP O
State NN NN O
has VBZ VBZ O
framed VBN VBN O
the DT DT O
Kerala NNP NNP O
Motor NNP NNP O
Vehicles NNS NNS O
Rules NNS NNS O
, , , O
1961 CD CD O
. . . O

The DT DT O
attack NN NN O
on IN IN O
the DT DT O
provision NN NN O
impugned VBN VBN O
is VBZ VBZ O
that IN IN O
the DT DT O
provision NN NN O
contravenes NNS NNS O
Section NN NN O
4 CD CD O
of IN IN O
the DT DT O
Act NNP NNP O
and CC CC O
particularly RB RB O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
2 CD CD O
) ) ) O
thereof NN NN O
. . . O

It PRP PRP O
is VBZ VBZ O
also RB RB O
contended VBN VBN O
that IN IN O
the DT DT O
provision NN NN O
as IN IN O
aforesaid NN NN O
prescribing VBG VBG O
qualification NN NN O
of IN IN O
experience NN NN O
in IN IN O
the DT DT O
proviso NN NN O
to TO TO O
Rule NN NN O
10 CD CD O
offends NNS NNS O
thescheme NN NN O
contained VBN VBN O
in IN IN O
Sections NNS NNS O
7 CD CD O
and CC CC O
8 CD CD O
of IN IN O
the DT DT O
Act NNP NNP O
and CC CC O
particularly RB RB O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
8 CD CD O
) ) ) O
of IN IN O
Section NN NN O
7 CD CD O
. . . O

I PRP PRP O
shall MD MD O
examine NN NN O
the DT DT O
contention NN NN O
as IN IN O
aforesaid NN NN O
hereunder NN NN O
, , , O

3 CD CD O
. . . O

Section NN NN O
4 CD CD O
reads NNS NNS O
: : : O

" NN NN O
4 CD CD O
. . . O

Age NN NN O
limit NN NN O
in IN IN O
connection NN NN O
with IN IN O
driving VBG VBG O
of IN IN O
motor NN NN O
vehicles NNS NNS O
. . . O
@@@@@-- NN NN O
( ( ( O
1 CD CD O
) ) ) O
No DT DT O
person NN NN O
under IN IN O
the DT DT O
age NN NN O
of IN IN O
eighteen NN NN O
years NNS NNS O
shall MD MD O
drive NN NN O
a DT DT O
motor NN NN O
vehicle NN NN O
in IN IN O
any DT DT O
public NN NN O
place NN NN O
. . . O

( ( ( O
2 CD CD O
) ) ) O
Subject JJ JJ O
to TO TO O
the DT DT O
provisions NNS NNS O
of IN IN O
Section NN NN O
14 CD CD O
, , , O
no DT DT O
person NN NN O
under IN IN O
the DT DT O
age NN NN O
of IN IN O
twenty NN NN O
years NNS NNS O
shall MD MD O
drive NN NN O
a DT DT O
transport NN NN O
vehicle NN NN O
in IN IN O
any DT DT O
public NN NN O
place NN NN O
." NN NN O

The DT DT O
submission NN NN O
with IN IN O
reference NN NN O
to TO TO O
this DT DT O
section NN NN O
is VBZ VBZ O
that IN IN O
the DT DT O
effect NN NN O
of IN IN O
the DT DT O
provision NN NN O
in IN IN O
the DT DT O
proviso NN NN O
to TO TO O
Rule NN NN O
10 CD CD O
of IN IN O
the DT DT O
Rules NNS NNS O
as IN IN O
regards NNS NNS O
experience NN NN O
qualification NN NN O
is VBZ VBZ O
that IN IN O
no DT DT O
one CD CD O
who WP WP O
has VBZ VBZ O
not RB RB O
yet RB RB O
attained VBN VBN O
21 CD CD O
years NNS NNS O
of IN IN O
age NN NN O
would MD MD O
be VB VB O
entitled VBN VBN O
to TO TO O
obtain VB VB O
an DT DT O
authorisation NN NN O
to TO TO O
drive NN NN O
a DT DT O
heavy JJ JJ O
motor NN NN O
vehicle NN NN O
. . . O

Elaborating VBG VBG O
this DT DT O
submission NN NN O
it PRP PRP O
is VBZ VBZ O
pointed VBN VBN O
out IN IN O
that IN IN O
under IN IN O
subsection NN NN O
( ( ( O
1 CD CD O
) ) ) O
no DT DT O
person NN NN O
under IN IN O
the DT DT O
age NN NN O
of IN IN O
eighteen NN NN O
years NNS NNS O
is VBZ VBZ O
entitled VBN VBN O
to TO TO O
obtain VB VB O
authorisation NN NN O
to TO TO O
drive NN NN O
any DT DT O
motor NN NN O
vehicle NN NN O
in IN IN O
any DT DT O
public NN NN O
place NN NN O
and CC CC O
counting NN NN O
three CD CD O
years NNS NNS O
' '' '' O
experience NN NN O
therefrom NN NN O
, , , O
only RB RB O
one CD CD O
who WP WP O
has VBZ VBZ O
attained VBN VBN O
21 CD CD O
years NNS NNS O
would MD MD O
be VB VB O
entitled VBN VBN O
to TO TO O
obtain VB VB O
an DT DT O
authorisation NN NN O
to TO TO O
drive NN NN O
a DT DT O
heavy JJ JJ O
motor NN NN O
vehicle NN NN O
. . . O

This DT DT O
, , , O
as IN IN O
submitted VBN VBN O
by IN IN O
the DT DT O
learned VBN VBN O
counsel NN NN O
for IN IN O
the DT DT O
petitioner NN NN O
, , , O
would MD MD O
contravene NN NN O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
2 CD CD O
) ) ) O
of IN IN O
Section NN NN O
4 CD CD O
whereunder NN NN O
the DT DT O
prohibition NN NN O
is VBZ VBZ O
only RB RB O
that IN IN O
a DT DT O
person NN NN O
under IN IN O
the DT DT O
age NN NN O
of IN IN O
20 CD CD O
years NNS NNS O
shall MD MD O
not RB RB O
drive NN NN O
a DT DT O
transport NN NN O
vehicle NN NN O
in IN IN O
any DT DT O
public NN NN O
place NN NN O
. . . O

3A CD CD O
. . . O

The DT DT O
argument NN NN O
as IN IN O
advanced JJ JJ O
is VBZ VBZ O
ingenious JJ JJ O
, , , O
but CC CC O
I PRP PRP O
am VBP VBP O
not RB RB O
able JJ JJ O
to TO TO O
accept NN NN O
the DT DT O
same JJ JJ O
. . . O

It PRP PRP O
cannot NN NN O
for IN IN O
a DT DT O
moment NN NN O
be VB VB O
contended VBN VBN O
that IN IN O
a DT DT O
person NN NN O
who WP WP O
is VBZ VBZ O
21 CD CD O
is VBZ VBZ O
under IN IN O
the DT DT O
age NN NN O
of IN IN O
20 CD CD O
years NNS NNS O
. . . O

If IN IN O
that IN IN O
be VB VB O
so RB RB O
, , , O
how WRB WRB O
the DT DT O
experience NN NN O
qualification NN NN O
prescribed NNS NNS O
in IN IN O
the DT DT O
proviso NN NN O
to TO TO O
Rule NN NN O
10 CD CD O
would MD MD O
offend NN NN O
Subsection NN NN O
( ( ( O
2 CD CD O
) ) ) O
of IN IN O
Section NN NN O
4 CD CD O
is VBZ VBZ O
beyond IN IN O
my PRP$ PRP$ O
comprehension NN NN O
. . . O

4 CD CD O
. . . O

The DT DT O
learned VBN VBN O
counsel NN NN O
for IN IN O
the DT DT O
petitioner NN NN O
took VBD VBD O
me PRP PRP O
through IN IN O
the DT DT O
several JJ JJ O
provisions NNS NNS O
contained VBN VBN O
in IN IN O
Sections NNS NNS O
7 CD CD O
, , , O
8 CD CD O
and CC CC O
14 CD CD O
and CC CC O
submitted VBN VBN O
that IN IN O
the DT DT O
proviso NN NN O
as IN IN O
aforesaid NN NN O
to TO TO O
Rule NN NN O
10 CD CD O
is VBZ VBZ O
contrary JJ JJ O
to TO TO O
the DT DT O
scheme NN NN O
contained VBN VBN O
in IN IN O
the DT DT O
aforesaid NN NN O
provisions NNS NNS O
. . . O

Section NN NN O
7 CD CD O
, , , O
to TO TO O
begin NN NN O
with IN IN O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
1 CD CD O
) ) ) O
thereof NN NN O
says VBZ VBZ O
that IN IN O
one CD CD O
who WP WP O
is VBZ VBZ O
not RB RB O
disqualified VBN VBN O
under IN IN O
Section NN NN O
4 CD CD O
for IN IN O
driving VBG VBG O
a DT DT O
motor NN NN O
vehicle NN NN O
and CC CC O
who WP WP O
is VBZ VBZ O
not RB RB O
for IN IN O
the DT DT O
time NN NN O
being VBG VBG O
disqualified VBN VBN O
for IN IN O
holding VBG VBG O
or CC CC O
obtaining VBG VBG O
a DT DT O
driving VBG VBG O
licence NN NN O
may MD MD O
apply VB VB O
to TO TO O
the DT DT O
licensing NN NN O
authority NN NN O
for IN IN O
an DT DT O
authority NN NN O
to TO TO O
drive NN NN O
a DT DT O
motor NN NN O
vehicle NN NN O
in IN IN O
the DT DT O
manner NN NN O
stated VBN VBN O
therein NN NN O
. . . O

5 CD CD O
. . . O

Sub NN NN O
- : : O
section NN NN O
( ( ( O
3 CD CD O
) ) ) O
of IN IN O
Section NN NN O
7 CD CD O
provides VBZ VBZ O
that IN IN O
where WRB WRB O
the DT DT O
application NN NN O
is VBZ VBZ O
for IN IN O
a DT DT O
driving VBG VBG O
licence NN NN O
to TO TO O
drive NN NN O
as IN IN O
paid NN NN O
employee NN NN O
or CC CC O
to TO TO O
drive NN NN O
a DT DT O
transport NN NN O
vehicle NN NN O
or CC CC O
where WRB WRB O
the DT DT O
licensing NN NN O
authority NN NN O
for IN IN O
reasons NNS NNS O
to TO TO O
be VB VB O
stated VBN VBN O
in IN IN O
writing VBG VBG O
so RB RB O
requires VBZ VBZ O
, , , O
the DT DT O
application NN NN O
shall MD MD O
be VB VB O
accompanied VBN VBN O
by IN IN O
a DT DT O
medical JJ JJ O
certificate NN NN O
in IN IN O
Form NN NN O
C SYM SYM O
, , , O
as IN IN O
set NN NN O
forth NN NN O
in IN IN O
the DT DT O
First RB RB O
Schedule NN NN O
, , , O
signed VBN VBN O
by IN IN O
a DT DT O
registered VBN VBN O
medical JJ JJ O
practitioner NN NN O
. . . O

Under IN IN O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
4 CD CD O
) ) ) O
of IN IN O
Section NN NN O
7 CD CD O
every DT DT O
application NN NN O
for IN IN O
a DT DT O
driving VBG VBG O
licence NN NN O
to TO TO O
drive NN NN O
as IN IN O
a DT DT O
paid NN NN O
employee NN NN O
and CC CC O
every DT DT O
application NN NN O
for IN IN O
a DT DT O
driving VBG VBG O
licence NN NN O
to TO TO O
drive NN NN O
a DT DT O
transport NN NN O
vehicle NN NN O
shall MD MD O
be VB VB O
accompanied VBN VBN O
by IN IN O
three CD CD O
clear JJ JJ O
copies NNS NNS O
of IN IN O
a DT DT O
recent JJ JJ O
photograph NN NN O
of IN IN O
the DT DT O
applicant NN NN O
. . . O

Under IN IN O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
5 CD CD O
) ) ) O
if IN IN O
it PRP PRP O
appears VBZ VBZ O
to TO TO O
the DT DT O
licensing NN NN O
authority NN NN O
either DT DT O
from IN IN O
the DT DT O
application NN NN O
or CC CC O
from IN IN O
the DT DT O
medical JJ JJ O
certificate NN NN O
produced VBN VBN O
by IN IN O
the DT DT O
applicant NN NN O
that IN IN O
he PRP PRP O
is VBZ VBZ O
suffering VBG VBG O
from IN IN O
any DT DT O
of IN IN O
the DT DT O
diseases NNS NNS O
or CC CC O
disabilities NNS NNS O
mentioned VBN VBN O
in IN IN O
the DT DT O
Second JJ JJ O
Schedule NN NN O
or CC CC O
any DT DT O
other JJ JJ O
disease NN NN O
or CC CC O
disability NN NN O
which WDT WDT O
is VBZ VBZ O
likely JJ JJ O
to TO TO O
cause NN NN O
the DT DT O
driving VBG VBG O
by IN IN O
him PRP PRP O
of IN IN O
a DT DT O
motor NN NN O
vehicle NN NN O
of IN IN O
the DT DT O
class NN NN O
which WDT WDT O
he PRP PRP O
may MD MD O
be VB VB O
authorised VBN VBN O
by IN IN O
the DT DT O
driving VBG VBG O
licence NN NN O
applied VBN VBN O
for IN IN O
to TO TO O
drive NN NN O
to TO TO O
be VB VB O
a DT DT O
source NN NN O
of IN IN O
danger NN NN O
to TO TO O
the DT DT O
public NN NN O
or CC CC O
to TO TO O
the DT DT O
passengers NNS NNS O
, , , O
the DT DT O
licensing NN NN O
authority NN NN O
shall MD MD O
refuse NN NN O
to TO TO O
issue NN NN O
the DT DT O
driving VBG VBG O
licence NN NN O
. . . O

The DT DT O
learned VBN VBN O
counsel NN NN O
referred VBN VBN O
me PRP PRP O
to TO TO O
clause NN NN O
( ( ( O
b NN NN O
) ) ) O
of IN IN O
the DT DT O
proviso NN NN O
to TO TO O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
5 CD CD O
). NN NN O

Under IN IN O
that IN IN O
clause NN NN O
, , , O
the DT DT O
applicant NN NN O
may MD MD O
, , , O
except IN IN O
where WRB WRB O
he PRP PRP O
suffers NNS NNS O
from IN IN O
a DT DT O
disease NN NN O
or CC CC O
disability NN NN O
specified VBN VBN O
in IN IN O
the DT DT O
Second JJ JJ O
Schedule NN NN O
, , , O
require NN NN O
that IN IN O
he PRP PRP O
be VB VB O
subjected VBN VBN O
to TO TO O
a DT DT O
test NN NN O
as IN IN O
regards NNS NNS O
his PRP$ PRP$ O
fitness NN NN O
or CC CC O
ability NN NN O
to TO TO O
drive NN NN O
a DT DT O
motor NN NN O
vehicle NN NN O
of IN IN O
a DT DT O
particular JJ JJ O
construction NN NN O
or CC CC O
design NN NN O
, , , O
and CC CC O
, , , O
if IN IN O
he PRP PRP O
passes NNS NNS O
such JJ JJ O
test NN NN O
to TO TO O
the DT DT O
satisfaction NN NN O
of IN IN O
the DT DT O
licensing NN NN O
authority NN NN O
and CC CC O
is VBZ VBZ O
not RB RB O
otherwise RB RB O
disqualified VBN VBN O
, , , O
the DT DT O
licensing NN NN O
authority NN NN O
shall MD MD O
grant NN NN O
him PRP PRP O
a DT DT O
driving VBG VBG O
licence NN NN O
to TO TO O
drive NN NN O
such JJ JJ O
motor NN NN O
vehicle NN NN O
as IN IN O
the DT DT O
licensing NN NN O
authority NN NN O
may MD MD O
specify NN NN O
in IN IN O
thedriving VBG VBG O
licence NN NN O
. . . O

Sub NN NN O
- : : O
section NN NN O
( ( ( O
6 CD CD O
) ) ) O
of IN IN O
Section NN NN O
7 CD CD O
provides VBZ VBZ O
that IN IN O
no DT DT O
driving VBG VBG O
licence NN NN O
shall MD MD O
be VB VB O
issued VBN VBN O
to TO TO O
any DT DT O
applicant NN NN O
unless IN IN O
he PRP PRP O
passes NNS NNS O
to TO TO O
the DT DT O
satisfaction NN NN O
of IN IN O
the DT DT O
licensing NN NN O
authority NN NN O
the DT DT O
test NN NN O
of IN IN O
competence NN NN O
to TO TO O
drive NN NN O
specified VBN VBN O
in IN IN O
the DT DT O
Third JJ JJ O
Schedule NN NN O
. . . O

The DT DT O
next JJ JJ O
sub NN NN O
- : : O
section NN NN O
that IN IN O
is VBZ VBZ O
referred VBN VBN O
to TO TO O
me PRP PRP O
by IN IN O
the DT DT O
learned VBN VBN O
counsel NN NN O
in IN IN O
reliance NN NN O
of IN IN O
his PRP$ PRP$ O
contention NN NN O
is VBZ VBZ O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
8 CD CD O
) ) ) O
of IN IN O
Section NN NN O
7 CD CD O
. . . O

It PRP PRP O
will MD MD O
be VB VB O
advantageous JJ JJ O
to TO TO O
read NN NN O
that IN IN O
section NN NN O
: : : O

" NN NN O
When WRB WRB O
an DT DT O
application NN NN O
has VBZ VBZ O
been VBN VBN O
duly NN NN O
made VBN VBN O
to TO TO O
the DT DT O
appropriate NN NN O
licensing NN NN O
authority NN NN O
and CC CC O
the DT DT O
applicant NN NN O
has VBZ VBZ O
satisfied JJ JJ O
such JJ JJ O
authority NN NN O
of IN IN O
his PRP$ PRP$ O
physical JJ JJ O
fitness NN NN O
and CC CC O
of IN IN O
his PRP$ PRP$ O
competence NN NN O
to TO TO O
drive NN NN O
and CC CC O
has VBZ VBZ O
paid NN NN O
to TO TO O
the DT DT O
authority NN NN O
such JJ JJ O
fee NN NN O
as IN IN O
the DT DT O
Central JJ JJ O
Government NN NN O
may MD MD O
, , , O
by IN IN O
rules NNS NNS O
made VBN VBN O
under IN IN O
this DT DT O
Act NNP NNP O
, , , O
specify NN NN O
the DT DT O
licensing NN NN O
authority NN NN O
shall MD MD O
grant NN NN O
the DT DT O
applicant NN NN O
driving VBG VBG O
licence NN NN O
unless IN IN O
the DT DT O
applicant NN NN O
is VBZ VBZ O
disqualified VBN VBN O
under IN IN O
Section NN NN O
4 CD CD O
for IN IN O
driving VBG VBG O
a DT DT O
motor NN NN O
vehicle NN NN O
or CC CC O
is VBZ VBZ O
for IN IN O
the DT DT O
time NN NN O
being VBG VBG O
disqualified VBN VBN O
for IN IN O
holding VBG VBG O
or CC CC O
obtaining VBG VBG O
a DT DT O
driving VBG VBG O
licence NN NN O
." NN NN O

6 CD CD O
. . . O

Much JJ JJ O
reliance NN NN O
is VBZ VBZ O
placed VBN VBN O
by IN IN O
the DT DT O
learned VBN VBN O
counsel NN NN O
appearing VBG VBG O
on IN IN O
behalf NN NN O
of IN IN O
the DT DT O
petitioner NN NN O
on IN IN O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
8 CD CD O
) ) ) O
of IN IN O
Section NN NN O
7 CD CD O
extracted VBN VBN O
above IN IN O
. . . O

The DT DT O
submission NN NN O
is VBZ VBZ O
that IN IN O
when WRB WRB O
an DT DT O
application NN NN O
has VBZ VBZ O
been VBN VBN O
duly NN NN O
made VBN VBN O
to TO TO O
the DT DT O
licensing NN NN O
authority NN NN O
and CC CC O
the DT DT O
applicant NN NN O
satisfies NNS NNS O
that IN IN O
authority NN NN O
of IN IN O
his PRP$ PRP$ O
physical JJ JJ O
fitness NN NN O
and CC CC O
of IN IN O
his PRP$ PRP$ O
competence NN NN O
to TO TO O
drive NN NN O
and CC CC O
when WRB WRB O
he PRP PRP O
has VBZ VBZ O
paid NN NN O
such JJ JJ O
fee NN NN O
as IN IN O
is VBZ VBZ O
specified VBN VBN O
, , , O
the DT DT O
licensing NN NN O
authority NN NN O
shall MD MD O
grant NN NN O
the DT DT O
applicant NN NN O
a DT DT O
driving VBG VBG O
licence NN NN O
, , , O
unless IN IN O
he PRP PRP O
is VBZ VBZ O
disqualified VBN VBN O
under IN IN O
Section NN NN O
4 CD CD O
from IN IN O
driving VBG VBG O
a DT DT O
motor NN NN O
vehicle NN NN O
and CC CC O
is VBZ VBZ O
for IN IN O
the DT DT O
time NN NN O
being VBG VBG O
disqualified VBN VBN O
for IN IN O
holding VBG VBG O
or CC CC O
obtaining VBG VBG O
a DT DT O
driving VBG VBG O
licence NN NN O
. . . O

According VBG VBG O
to TO TO O
the DT DT O
learned VBN VBN O
counsel NN NN O
for IN IN O
the DT DT O
petitioner NN NN O
, , , O
it PRP PRP O
is VBZ VBZ O
imperative NN NN O
on IN IN O
the DT DT O
part NN NN O
of IN IN O
the DT DT O
licensing NN NN O
authority NN NN O
to TO TO O
issue NN NN O
a DT DT O
licence NN NN O
when WRB WRB O
an DT DT O
applicant NN NN O
has VBZ VBZ O
submitted VBN VBN O
an DT DT O
application NN NN O
in IN IN O
accordance NN NN O
with IN IN O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
1 CD CD O
) ) ) O
of IN IN O
Section NN NN O
7 CD CD O
and CC CC O
the DT DT O
applicant NN NN O
satisfies NNS NNS O
the DT DT O
authority NN NN O
of IN IN O
his PRP$ PRP$ O
physical JJ JJ O
fitness NN NN O
and CC CC O
of IN IN O
his PRP$ PRP$ O
competence NN NN O
to TO TO O
drive NN NN O
and CC CC O
he PRP PRP O
has VBZ VBZ O
paid NN NN O
to TO TO O
the DT DT O
concerned JJ JJ O
authority NN NN O
the DT DT O
required VBN VBN O
fee NN NN O
. . . O
@@@@@( NN NN O
emphasis NN NN O
sup NN NN O
- : : O
plied VBN VBN O
). NN NN O

Mark NN NN O
that IN IN O
under IN IN O
Section NN NN O
7 CD CD O
( ( ( O
1 CD CD O
) ) ) O
the DT DT O
applicant NN NN O
should MD MD O
be VB VB O
one CD CD O
who WP WP O
is VBZ VBZ O
not RB RB O
disqualified VBN VBN O
for IN IN O
obtaining VBG VBG O
a DT DT O
driving VBG VBG O
licence NN NN O
as IN IN O
also RB RB O
for IN IN O
holding VBG VBG O
the DT DT O
same JJ JJ O
and CC CC O
that IN IN O
under IN IN O
the DT DT O
last JJ JJ O
clause NN NN O
mentioned VBN VBN O
in IN IN O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
8 CD CD O
) ) ) O
the DT DT O
licensing NN NN O
authority NN NN O
has VBZ VBZ O
to TO TO O
consider VB VB O
whether IN IN O
the DT DT O
applicant NN NN O
is VBZ VBZ O
dis NN NN O
- : : O
qualified VBN VBN O
for IN IN O
obtaining VBG VBG O
a DT DT O
driving VBG VBG O
licence NN NN O
or CC CC O
for IN IN O
holding VBG VBG O
the DT DT O
same JJ JJ O
. . . O

The DT DT O
question NN NN O
is VBZ VBZ O
where WRB WRB O
to TO TO O
look NN NN O
for IN IN O
the DT DT O
other JJ JJ O
qualifications NNS NNS O
that IN IN O
Sub NN NN O
- : : O
sections NNS NNS O
( ( ( O
1 CD CD O
) ) ) O
and CC CC O
( ( ( O
8 CD CD O
) ) ) O
of IN IN O
Section NN NN O
7 CD CD O
refer NN NN O
to TO TO O
. . . O

7 CD CD O
. . . O

The DT DT O
learned VBN VBN O
counsel NN NN O
for IN IN O
the DT DT O
petitioner NN NN O
referred VBN VBN O
me PRP PRP O
to TO TO O
Section NN NN O
8 CD CD O
of IN IN O
the DT DT O
Act NNP NNP O
and CC CC O
particularly RB RB O
to TO TO O
Sub NN NN O
- : : O
section NN NN O
( ( ( O
2 CD CD O
) ) ) O
thereof NN NN O
and CC CC O
to TO TO O
Section NN NN O
14 CD CD O
. . . O

Section NN NN O
8 CD CD O
( ( ( O
1 CD CD O
) ) ) O
prescribes NNS NNS O
the DT DT O
Form NN NN O
in IN IN O
which WDT WDT O
a DT DT O
driving VBG VBG O
licence NN NN O
other JJ JJ O
than IN IN O
a DT DT O
driving VBG VBG O
licence NN NN O
issued VBN VBN O
under IN IN O
Section NN NN O
14 CD CD O
is VBZ VBZ O
to TO TO O
be VB VB O
made VBN VBN O
. . . O

That DT DT O
provision NN NN O
says VBZ VBZ O
that IN IN O
the DT DT O
signature NN NN O
or CC CC O
the DT DT O
thumb NN NN O
- : : O
impression NN NN O
given VBN VBN O
on IN IN O
the DT DT O
form NN NN O
of IN IN O
application NN NN O
for IN IN O
the DT DT O
driving VBG VBG O
licence NN NN O
is VBZ VBZ O
to TO TO O
be VB VB O
affixed NN NN O
thereto NN NN O
and CC CC O
in IN IN O
