-DOCSTART- -X- -X- O
[ NN NN I-Section
3 CD CD I-Section
] NN NN I-Section
and CC CC O
123 CD CD B-Section
[ NN NN I-Section
3A CD CD I-Section
] NN NN I-Section
of IN IN O
the DT DT O
Act NNP NNP O
without IN IN O
compliance NN NN O
of IN IN O
the DT DT O
requirements NNS NNS O
of IN IN O
notice NN NN O
and CC CC O
opportunity NN NN O
under IN IN O
Section NN NN B-Section
99 CD CD I-Section
, , , O
which WDT WDT O
was VBD VBD O
held NN NN O
to TO TO O
be VB VB O
a DT DT O
duty NN NN O
of IN IN O
the DT DT O
Court NNP NNP O
, , , O
vitiate NN NN O
the DT DT O
declaration NN NN O
that IN IN O
the DT DT O
appellant NN NN O
' '' '' O
s NN NN O
allegations NNS NNS O
are VBP VBP O
baseless NN NN O

The DT DT O
speeches NNS NNS O
made VBN VBN O
by IN IN O
the DT DT O
leaders NNS NNS O
on IN IN O
February NNP NNP O
10 CD CD O
, , , O
1990 CD CD O
, , , O
February NNP NNP O
17 CD CD O
, , , O
1990 CD CD O
, , , O
intervening VBG VBG O
night NN NN O
of IN IN O
February NNP NNP O
20 CD CD O
and CC CC O
21 CD CD O
, , , O
February NNP NNP O
23 CD CD O
, , , O
1990 CD CD O
within IN IN O
the DT DT O
constituency NN NN O
and CC CC O
on IN IN O
February NNP NNP O
24 CD CD O
, , , O
1990 CD CD O
outside IN IN O
the DT DT O
constituency NN NN O
, , , O
were VBD VBD O
not RB RB O
made VBN VBN O
with IN IN O
his PRP$ PRP$ O
consent NN NN O

Therefore RB RB O
, , , O
corrupt NN NN O
practices NNS NNS O
have VB VB O
not RB RB O
been VBN VBN O
proved VBN VBN O

This DT DT O
mandatory NN NN O
requirement NN NN O
has VBZ VBZ O
not RB RB O
been VBN VBN O
complied VBN VBN O
with IN IN O

Therefore RB RB O
, , , O
the DT DT O
judgment NN NN O
is VBZ VBZ O
clearly RB RB O
illegal JJ JJ O

He PRP PRP O
, , , O
therefore RB RB O
, , , O
requested VBN VBN O
to TO TO O
remit NN NN O
the DT DT O
matter NN NN O
for IN IN O
taking VBG VBG O
the DT DT O
proceedings NNS NNS O
under IN IN O
Section NN NN B-Section
99 CD CD I-Section
( ( ( I-Section
1 CD CD I-Section
) ) ) I-Section
proviso NN NN O
as IN IN O
interpreted VBN VBN O
in IN IN O
Manohar NN NN O
Joshi NN NN O
Case NN NN O
No DT DT O
. . . O
2 CD CD O

Shri NN NN O
B NN NN O
. . . O
A DT DT O

Desai NN NN O
, , , O
learned VBN VBN O
counsel NN NN O
for IN IN O
the DT DT O
respondent NN NN O
, , , O
has VBZ VBZ O
controverted VBN VBN O
the DT DT O
same JJ JJ O

Prima NN NN O
facie NN NN O
, , , O
the DT DT O
following VBG VBG O
three CD CD O
questions NNS NNS O
which WDT WDT O
are VBP VBP O
interwoven RB RB O
, , , O
arise NN NN O
for IN IN O
decision NN NN O
in IN IN O
the DT DT O
case NN NN O
: : : O
[ NN NN O
i NN NN O
] NN NN O
whether IN IN O
the DT DT O
learned VBN VBN O
Judge NNP NNP O
who WP WP O
tried VBN VBN O
the DT DT O
case NN NN O
is VBZ VBZ O
required VBN VBN O
to TO TO O
record NN NN O
prima NN NN O
facie NN NN O
conclusions NNS NNS O
on IN IN O
proof NN NN O
of IN IN O
the DT DT O
corrupt NN NN O
practices NNS NNS O
committed VBN VBN O
by IN IN O
the DT DT O
returned VBN VBN O
candidate NN NN O
or CC CC O
his PRP$ PRP$ O
agents NNS NNS O
or CC CC O
collaborators NNS NNS O
[ NN NN O
leaders NNS NNS O
of IN IN O
the DT DT O
political JJ JJ O
party NN NN O
under IN IN O
whose WP$ WP$ O
banner NN NN O
the DT DT O
returned VBN VBN O
candidate NN NN O
contested VBN VBN O
the DT DT O
election NN NN O
] NN NN O
or CC CC O
any DT DT O
other JJ JJ O
person NN NN O
on IN IN O
his PRP$ PRP$ O
behalf NN NN O

[ NN NN O
ii NN NN O
] NN NN O
whether IN IN O
the DT DT O
consent NN NN O
of IN IN O
the DT DT O
returned VBN VBN O
candidate NN NN O
is VBZ VBZ O
required VBN VBN O
to TO TO O
be VB VB O
proved VBN VBN O
and CC CC O
if IN IN O
so RB RB O
, , , O
on IN IN O
what WP WP O
basis NN NN O
and CC CC O
under IN IN O
what WP WP O
circumstances NNS NNS O
the DT DT O
consent NN NN O
is VBZ VBZ O
held NN NN O
proved VBN VBN O

iii NN NN O
] NN NN O
on IN IN O
reaching VBG VBG O
the DT DT O
conclusion NN NN O
that IN IN O
consent NN NN O
is VBZ VBZ O
proved VBN VBN O
and CC CC O
prima NN NN O
facie NN NN O
corrupt NN NN O
practices NNS NNS O
are VBP VBP O
proved VBN VBN O
, , , O
whether IN IN O
the DT DT O
notice NN NN O
under IN IN O
Section NN NN B-Section
99 CD CD I-Section
( ( ( I-Section
1 CD CD I-Section
) ) ) I-Section
proviso NN NN O
( ( ( O
a DT DT O
) ) ) O
should MD MD O
contain NN NN O
, , , O
like IN IN O
mini NN NN O
judgment NN NN O
, , , O
extraction NN NN O
of IN IN O
pleadings NNS NNS O
of IN IN O
corrupt NN NN O
practices NNS NNS O
under IN IN O
Section NN NN B-Section
123 CD CD I-Section
, , , O
the DT DT O
evidence NN NN O
- : : O
oral JJ JJ O
and CC CC O
documentary NN NN O
and CC CC O
findings NNS NNS O
on IN IN O
each DT DT O
of IN IN O
the DT DT O
corrupt NN NN O
practices NNS NNS O
by IN IN O
each DT DT O
of IN IN O
the DT DT O
collaborators NNS NNS O
, , , O
if IN IN O
there RB RB O
are VBP VBP O
more RBR RBR O
than IN IN O
one CD CD O
, , , O
and CC CC O
supply NN NN O
them PRP PRP O
to TO TO O
all DT DT O
of IN IN O
them PRP PRP O
for IN IN O
giving VBG VBG O
an DT DT O
opportunity NN NN O
to TO TO O
be VB VB O
complied VBN VBN O
with IN IN O

There EX EX O
is VBZ VBZ O
a DT DT O
common JJ JJ O
thread NN NN O
that IN IN O
runs NNS NNS O
through IN IN O
many JJ JJ O
a DT DT O
decision NN NN O
of IN IN O
this DT DT O
Court NNP NNP O
which WDT WDT O
mandates NNS NNS O
as IN IN O
duty NN NN O
of IN IN O
the DT DT O
High JJ JJ O
Court NNP NNP O
under IN IN O
sub NN NN B-Section
- : : I-Section
section NN NN I-Section
[ NN NN I-Section
1 CD CD I-Section
] NN NN I-Section
of IN IN I-Section
Section NN NN I-Section
99 CD CD I-Section
, , , O
requiring VBG VBG O
at IN IN O
the DT DT O
time NN NN O
of IN IN O
making VBG VBG O
an DT DT O
order NN NN O
under IN IN O
Section NN NN B-Section
98 CD CD I-Section
to TO TO O
make VB VB O
an DT DT O
order NN NN O
recording VBG VBG O
the DT DT O
names NNS NNS O
of IN IN O
all DT DT O
persons NNS NNS O
, , , O
if IN IN O
any DT DT O
, , , O
who WP WP O
have VB VB O
been VBN VBN O
proved VBN VBN O
at IN IN O
the DT DT O
trial NN NN O
to TO TO O
have VB VB O
been VBN VBN O
guilty JJ JJ O
of IN IN O
any DT DT O
corrupt NN NN O
practice NN NN O
and CC CC O
the DT DT O
nature NN NN O
of IN IN O
that IN IN O
practice NN NN O

The DT DT O
High JJ JJ O
Court NNP NNP O
is VBZ VBZ O
required VBN VBN O
to TO TO O
refer NN NN O
names NNS NNS O
of IN IN O
all DT DT O
persons NNS NNS O
proved VBN VBN O
guilty JJ JJ O
of IN IN O
any DT DT O
corrupt NN NN O
practice NN NN O
which WDT WDT O
have VB VB O
been VBN VBN O
proved VBN VBN O
at IN IN O
the DT DT O
trial NN NN O

Under IN IN O
proviso NN NN O
to TO TO O
subsection NN NN O
[ NN NN O
1 CD CD O
], NN NN O
the DT DT O
person NN NN O
who WP WP O
has VBZ VBZ O
not RB RB O
been VBN VBN O
a DT DT O
party NN NN O
to TO TO O
the DT DT O
petition NN NN O
has VBZ VBZ O
to TO TO O
be VB VB O
given VBN VBN O
notice NN NN O
to TO TO O
appear VB VB O
before IN IN O
the DT DT O
High JJ JJ O
Court NNP NNP O
to TO TO O
show NN NN O
cause NN NN O
why WRB WRB O
he PRP PRP O
should MD MD O
not RB RB O
be VB VB O
named VBN VBN O

If IN IN O
he PRP PRP O
appears VBZ VBZ O
pursuant NN NN O
to TO TO O
the DT DT O
notice NN NN O
, , , O
he PRP PRP O
should MD MD O
be VB VB O
given VBN VBN O
an DT DT O
opportunity NN NN O
of IN IN O
cross NN NN O
- : : O
examining VBG VBG O
any DT DT O
witness NN NN O
who WP WP O
has VBZ VBZ O
already RB RB O
been VBN VBN O
examined VBN VBN O
and CC CC O
given VBN VBN O
evidence NN NN O
and CC CC O
of IN IN O
calling VBG VBG O
evidence NN NN O
in IN IN O
his PRP$ PRP$ O
defence NN NN O
and CC CC O
of IN IN O
being VBG VBG O
heard NN NN O

In IN IN O
Dr NN NN B-Case

Ramesh NN NN I-Case
Yeshwant NN NN I-Case
Prabhoo NN NN I-Case
v NN NN I-Case
. . . I-Case
Prabhakar NN NN I-Case
Kashinath NN NN I-Case
Kunte NNP NNP I-Case
& CC CC I-Case
Ors NN NN I-Case

1996 CD CD I-Cite
) ) ) I-Cite
1 CD CD I-Cite
SCC NN NN I-Cite
130 CD CD I-Cite
], NN NN O
the DT DT O
scope NN NN O
of IN IN O
the DT DT O
content NN NN O
of IN IN O
the DT DT O
notice NN NN O
under IN IN O
Section NN NN B-Section
99 CD CD I-Section
( ( ( I-Section
1 CD CD I-Section
), NN NN O
proviso NN NN O
( ( ( O
a DT DT O
) ) ) O
came VBD VBD O
up RB RB O
or CC CC O
consideration NN NN O

Background NN NN O
facts NNS NNS O
to TO TO O
the DT DT O
said VBD VBD O
decision NN NN O
are VBP VBP O
required VBN VBN O
to TO TO O
be VB VB O
stated VBN VBN O
here RB RB O

Accompanying VBG VBG O
the DT DT O
notice NN NN O
, , , O
photocopies NNS NNS O
of IN IN O
the DT DT O
petition NN NN O
, , , O
written VBN VBN O
statement NN NN O
, , , O
the DT DT O
issues NNS NNS O
, , , O
the DT DT O
evidence NN NN O
- : : O
oral JJ JJ O
and CC CC O
documentary NN NN O
were VBD VBD O
supplied VBN VBN O

In IN IN O
furtherance NN NN O
thereof NN NN O
, , , O
Shri NN NN O
Bal NN NN O
Thackeray NN NN O
had VBD VBD O
appeared VBD VBD O
on IN IN O
September NNP NNP O
27 CD CD O
, , , O
1988 CD CD O
and CC CC O
contended VBN VBN O
that IN IN O
the DT DT O
notice NN NN O
was VBD VBD O
vague NN NN O
since IN IN O
the DT DT O
notice NN NN O
did VBD VBD O
not RB RB O
indicate NN NN O
as IN IN O
to TO TO O
which WDT WDT O
portions NNS NNS O
of IN IN O
the DT DT O
speeches NNS NNS O
were VBD VBD O
believed VBN VBN O
and CC CC O
relied VBN VBN O
upon IN IN O
to TO TO O
reach NN NN O
prima NN NN O
facie NN NN O
conclusion NN NN O

By IN IN O
order NN NN O
dated VBN VBN O
October NNP NNP O
10 CD CD O
, , , O
1988 CD CD O
, , , O
the DT DT O
learned VBN VBN O
Judge NNP NNP O
overruled VBN VBN O
the DT DT O
objections NNS NNS O
by IN IN O
a DT DT O
written VBN VBN O
order NN NN O
which WDT WDT O
was VBD VBD O
challenged NN NN O
in IN IN O
Special JJ JJ O
Leave VB VB O
Petition NN NN O
No DT DT O
. . . O
13163 CD CD O
of IN IN O
1988 CD CD O

A DT DT O
Bench NN NN O
of IN IN O
two CD CD O
Judges NNS NNS O
of IN IN O
this DT DT O
Court NNP NNP O
by IN IN O
order NN NN O
dated VBN VBN O
December NNP NNP O
1 CD CD O
, , , O
1988 CD CD O
dismissed VBN VBN O
the DT DT O
petition NN NN O
holding VBG VBG O
that IN IN O
notice NN NN O
under IN IN O
Section NN NN B-Section
99 CD CD I-Section
was VBD VBD O
not RB RB O
required VBN VBN O
to TO TO O
specify NN NN O
all DT DT O
the DT DT O
portions NNS NNS O
of IN IN O
the DT DT O
speeches NNS NNS O
indicated VBN VBN O
to TO TO O
be VB VB O
corrupt NN NN O
practices NNS NNS O
under IN IN O
sub NN NN I-Section
- : : I-Section
sections NNS NNS I-Section
[ NN NN I-Section
3 CD CD I-Section
] NN NN I-Section
and CC CC I-Section
[ NN NN O
3A CD CD I-Section
] NN NN O
of IN IN I-Section
Section NN NN I-Section

123 CD CD O

However RB RB O
, , , O
liberty NN NN O
was VBD VBD O
given VBN VBN O
to TO TO O
Bal NN NN O
Thackeray NN NN O
to TO TO O
file NN NN O
an DT DT O
application NN NN O
before IN IN O
the DT DT O
High JJ JJ O
Court NNP NNP O
seeking VBG VBG O
to TO TO O
specify NN NN O
those DT DT O
portions NNS NNS O
which WDT WDT O
according VBG VBG O
to TO TO O
the DT DT O
Court NNP NNP O
prima NN NN O
facie NN NN O
come VB VB O
within IN IN O
the DT DT O
purview NN NN O
of IN IN O
sub NN NN I-Section
- : : I-Section
section NN NN I-Section
[ NN NN I-Section
3 CD CD I-Section
] NN NN I-Section
or CC CC I-Section
[ NN NN O
3A CD CD I-Section
] NN NN O
of IN IN I-Section
Section NN NN I-Section

123 CD CD O

If IN IN O
such JJ JJ O
an DT DT O
application NN NN O
was VBD VBD O
made VBN VBN O
, , , O
the DT DT O
High JJ JJ O
Court NNP NNP O
was VBD VBD O
directed VBN VBN O
to TO TO O
dispose NN NN O
of IN IN O
it PRP PRP O
in IN IN O
accordance NN NN O
with IN IN O
law NN NN O

Subsequently RB RB O
, , , O
an DT DT O
application NN NN O
came VBD VBD O
to TO TO O
be VB VB O
made VBN VBN O
and CC CC O
by IN IN O
order NN NN O
dated VBN VBN O
December NNP NNP O
16 CD CD O
, , , O
1988 CD CD O
the DT DT O
learned VBN VBN O
Judge NNP NNP O
held NN NN O
that IN IN O
Section NN NN B-Section
99 CD CD I-Section
does VBZ VBZ O
not RB RB O
require NN NN O
the DT DT O
court NN NN O
to TO TO O
analyze NN NN O
the DT DT O
evidence NN NN O
and CC CC O
specify NN NN O
either DT DT O
in IN IN O
the DT DT O
notice NN NN O
under IN IN O
Section NN NN B-Section
99 CD CD I-Section
or CC CC O
at IN IN O
any DT DT O
time NN NN O
prior RB RB O
to TO TO O
hearing NN NN O
the DT DT O
persons NNS NNS O
to TO TO O
whom WP WP O
notice NN NN O
had VBD VBD O
been VBN VBN O
issued VBN VBN O
, , , O
" NN NN O
portion NN NN O
or CC CC O
portions NNS NNS O
thereof NN NN O
in IN IN O
its PRP$ PRP$ O
view NN NN O
prima NN NN O
facie NN NN O
to TO TO O
make VB VB O
out IN IN O
the DT DT O
case NN NN O
which WDT WDT O
the DT DT O
notice NN NN O
is VBZ VBZ O
called VBN VBN O
upon IN IN O
to TO TO O
answer NN NN O

His PRP$ PRP$ O
position NN NN O
can MD MD O
be VB VB O
no DT DT O
better RBR RBR O
than IN IN O
the DT DT O
elected VBN VBN O
candidate NN NN O

It PRP PRP O
was VBD VBD O
held NN NN O
that IN IN O
the DT DT O
notice NN NN O
is VBZ VBZ O
not RB RB O
entitled VBN VBN O
to TO TO O
be VB VB O
specified VBN VBN O
by IN IN O
the DT DT O
Court NNP NNP O
of IN IN O
the DT DT O
portions NNS NNS O
of IN IN O
the DT DT O
speeches NNS NNS O
which WDT WDT O
according VBG VBG O
to TO TO O
it PRP PRP O
prima NN NN O
facie NN NN O
fall NN NN O
within IN IN O
the DT DT O
purview NN NN O
of IN IN O
sub NN NN B-Section
- : : I-Section
section NN NN I-Section
[ NN NN I-Section
3 CD CD I-Section
] NN NN I-Section
or CC CC I-Section
( ( ( I-Section
3A CD CD I-Section
) ) ) I-Section
of IN IN I-Section
Section NN NN I-Section
123 CD CD I-Section
either DT DT O
in IN IN O
the DT DT O
show NN NN O
cause NN NN O
notice NN NN O
under IN IN O
Section NN NN B-Section
99 CD CD I-Section
or CC CC O
at IN IN O
any DT DT O
time NN NN O
prior RB RB O
to TO TO O
so RB RB O
showing VBG VBG O
cause NN NN O

Accordingly RB RB O
, , , O
the DT DT O
High JJ JJ O
Court NNP NNP O
directed VBN VBN O
the DT DT O
counsel NN NN O
appearing VBG VBG O
for IN IN O
the DT DT O
election NN NN O
petitioner NN NN O
" NN NN O
to TO TO O
indicate NN NN O
on IN IN O
which WDT WDT O
portions NNS NNS O
of IN IN O
the DT DT O
speeches NNS NNS O
or CC CC O
evidence NN NN O
he PRP PRP O
seeks NN NN O
to TO TO O
place NN NN O
reliance NN NN O
at IN IN O
the DT DT O
hearing NN NN O
of IN IN O
the DT DT O
election NN NN O
petition NN NN O
" NN NN O
and CC CC O
directed VBN VBN O
him PRP PRP O
to TO TO O
furnish JJ JJ O
to TO TO O
the DT DT O
notice NN NN O
or CC CC O
his PRP$ PRP$ O
advocate NN NN O
xerox NN NN O
copy NN NN O
of IN IN O
those DT DT O
speeches NNS NNS O
, , , O
marking VBG VBG O
